2025-11-11 10:21:10 | INFO | 📤 client_1_1762831226 publish ไปยัง 'device/light/data': off
2025-11-11 10:21:14 | INFO | 📤 client_1_1762831226 publish ไปยัง 'sensor/humidity': 84.8
2025-11-11 10:21:18 | INFO | ✅ Client ใหม่เชื่อมต่อ: client_2_1762831278 จาก ('127.0.0.1', 45448)
2025-11-11 10:21:18 | INFO | 📥 client_2_1762831278 subscribe topic: 'sensor/temperature'
2025-11-11 10:21:18 | INFO | 📥 client_2_1762831278 subscribe topic: 'sensor/humidity'
2025-11-11 10:21:18 | INFO | 📥 client_2_1762831278 subscribe topic: 'home/+/status'
2025-11-11 10:21:18 | INFO | 📥 client_2_1762831278 subscribe topic: 'device/+/data'
2025-11-11 10:21:18 | INFO | 📥 client_2_1762831278 subscribe topic: 'test/message'
2025-11-11 10:21:18 | INFO | 📤 client_1_1762831226 publish ไปยัง 'sensor/humidity': 53.4
2025-11-11 10:21:22 | INFO | 🔌 client_1_1762831226 ตัดการเชื่อมต่อแล้ว
2025-11-11 10:21:25 | INFO | 📊 ===== สถิติ MQTT Broker =====
2025-11-11 10:21:25 | INFO | 🕒 เวลาทำงาน: 0:04:30.060532
2025-11-11 10:21:25 | INFO | 🔗 การเชื่อมต่อทั้งหมด: 3
2025-11-11 10:21:25 | INFO | 🟢 การเชื่อมต่อปัจจุบัน: 1
2025-11-11 10:21:25 | INFO | 📨 ข้อความทั้งหมด: 49
2025-11-11 10:21:25 | INFO | 📥 subscription ทั้งหมด: 10
2025-11-11 10:21:25 | INFO | 📂 Topic ที่มีการใช้งาน: 5
2025-11-11 10:21:25 | INFO | 💾 ข้อความที่เก็บไว้: 39
2025-11-11 10:21:25 | INFO | ================================
